#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"OneDrive","2","854","475594752","162893824","170893312","51944","C:\Users\Paul\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation","962.5","17.3.7074.1023","17.3.7074.1023","Microsoft OneDrive","Microsoft OneDrive","Process","8",,"False",,"3836","Microsoft.Win32.SafeHandles.SafeProcessHandle","854","3152",".","0","","System.Diagnostics.ProcessModule (OneDrive.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","51944","51944","170893312","170893312","383968","383968","197050368","197050368","223318016","223318016","526794752","526794752","True","Normal","170893312","170893312","00:08:17.6718750","OneDrive","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:04:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:16:02.5000000","00:07:44.8281250","475594752","475594752","False",,,,"162893824","162893824",,
"Battle.net Helper","2","350","368340992","58265600","47607808","34920","C:\Program Files (x86)\Battle.net\Battle.net.9526\Battle.net Helper.exe",,"839.25",,,,,"Process","8",,"False",,"3868","Microsoft.Win32.SafeHandles.SafeProcessHandle","350","19656",".","0","","System.Diagnostics.ProcessModule (Battle.net Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34920","34920","47607808","47607808","471888","471888","47607808","47607808","74919936","74919936","368340992","368340992","True","Normal","47607808","47607808","00:01:43.3281250","Battle.net Helper","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:04:00 PM",,"System.Diagnostics.ProcessThreadCollection","00:13:59.2500000","00:12:15.9218750","368340992","368340992","False",,,,"58265600","58265600",,
"Battle.net Helper","2","464","412934144","71847936","79396864","37480","C:\Program Files (x86)\Battle.net\Battle.net.9526\Battle.net Helper.exe",,"472.34375",,,,,"Process","8",,"False",,"3900","Microsoft.Win32.SafeHandles.SafeProcessHandle","464","9556",".","0","","System.Diagnostics.ProcessModule (Battle.net Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","37480","37480","79396864","79396864","573472","573472","82518016","82518016","102707200","102707200","420909056","420909056","True","Normal","79396864","79396864","00:01:02.8125000","Battle.net Helper","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:03:45 PM",,"System.Diagnostics.ProcessThreadCollection","00:07:52.3437500","00:06:49.5312500","412934144","412934144","False",,,,"71847936","71847936",,
"chrome","2","1995","2199749775360","201064448","183099392","79600","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","119.078125","61.0.3163.100","61.0.3163.100","Google Chrome","Google Chrome","Process","8",,"False",,"3932","Microsoft.Win32.SafeHandles.SafeProcessHandle","1995","3244",".","131196","Bash and PowerShell Workshop - Google Docs - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","79600","79600","183099392","183099392","888424","888424","254947328","254947328","279109632","279109632","823922688","2199847178240","True","Normal","183099392","183099392","00:00:34.6406250","chrome","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:08:42 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:59.0781250","00:01:24.4375000","726519808","2199749775360","False",,,,"201064448","201064448",,
"audiodg","0","292","2199179431936","20078592","14819328","20984",,,"107.796875",,,,,"Process","8",,,,,,"292","20620",".","0","",,,,,"20984","20984","14819328","14819328","188488","188488","28377088","28377088","36081664","36081664","161959936","2199185215488",,,"14819328","14819328","00:00:51.3125000","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","10/25/2017 9:55:38 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:47.7968750","00:00:56.4843750","156176384","2199179431936","False",,,,"20078592","20078592",,
"explorer","2","2930","2199702372352","123895808","86020096","215072","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","102.84375","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"2460","Microsoft.Win32.SafeHandles.SafeProcessHandle","2930","8832",".","65798","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","215072","215072","86020096","86020096","1155888","1155888","114601984","114601984","164544512","164544512","736665600","2199759921152","True","Normal","86020096","86020096","00:00:52.9687500","explorer","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:03:18 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:42.8437500","00:00:49.8750000","679116800","2199702372352","False",,,,"123895808","123895808",,
"chrome","2","514","2199897468928","119943168","207699968","32152","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","82.484375","61.0.3163.100","61.0.3163.100","Google Chrome","Google Chrome","Process","8",,"False",,"3512","Microsoft.Win32.SafeHandles.SafeProcessHandle","514","9096",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32152","32152","207699968","207699968","571296","571296","642502656","642502656","225730560","225730560","1186885632","2200210141184","True","Normal","207699968","207699968","00:00:17.0156250","chrome","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:08:42 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:22.4843750","00:01:05.4687500","874213376","2199897468928","False",,,,"119943168","119943168",,
"Discord","2","634","516849664","91783168","129277952","85528","C:\Users\Paul\AppData\Local\Discord\app-0.0.298\Discord.exe","Discord Inc.","54.140625","0.0.298","0.0.298","Discord","Discord","Process","8",,"False",,"3308","Microsoft.Win32.SafeHandles.SafeProcessHandle","634","1700",".","0","","System.Diagnostics.ProcessModule (Discord.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","85528","85528","129277952","129277952","524232","524232","149827584","149827584","180191232","180191232","536682496","536682496","True","Normal","129277952","129277952","00:00:33.2343750","Discord","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:03:57 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:54.1406250","00:00:20.9062500","516849664","516849664","False",,,,"91783168","91783168",,
"Steam","2","853","454512640","61005824","91324416","82104","C:\Program Files (x86)\Steam\Steam.exe","Valve Corporation","53.828125","04.20.16.39","01.00.00.01","Steam Client Bootstrapper","Steam Client Bootstrapper","Process","8",,"False",,"1936","Microsoft.Win32.SafeHandles.SafeProcessHandle","853","19904",".","0","","System.Diagnostics.ProcessModule (Steam.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","82104","82104","91324416","91324416","558096","558096","256929792","256929792","275951616","275951616","628101120","628101120","True","Normal","91324416","91324416","00:00:35.4843750","Steam","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:03:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:53.8281250","00:00:18.3437500","454512640","454512640","False",,,,"61005824","61005824",,
"Everything","2","259","433692672","276078592","271482880","17920","C:\Program Files\Everything\Everything.exe","","51.859375","1.4.1.877","1.4.1.877","Everything","Everything","Process","8",,"False",,"3352","Microsoft.Win32.SafeHandles.SafeProcessHandle","259","5772",".","0","","System.Diagnostics.ProcessModule (Everything.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17920","17920","271482880","271482880","231904","231904","291622912","291622912","298233856","298233856","439697408","439697408","True","Normal","271482880","271482880","00:00:01.5468750","Everything","255","True","2","System.Diagnostics.ProcessStartInfo","10/26/2017 5:03:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:51.8593750","00:00:50.3125000","433692672","433692672","False",,,,"276078592","276078592",,
